Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,UniqueCarrier,AirlineID,Carrier,TailNum,FlightNum,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac
2012,4,12,7,5,2012/12/7,HA,19690,HA,N484HA,301,12402,1240203,32402,ITO,"Hilo, HI",HI,15,Hawaii,2
2012,4,12,14,5,2012/12/14,HA,19690,HA,N478HA,302,12173,1217301,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2
2012,4,12,23,7,2012/12/23,WN,19393,WN,N468WN,303,11259,1125903,30194,DAL,"Dallas, TX",TX,48,Texas,74
2012,4,12,16,7,2012/12/16,DL,19790,DL,N687DL,304,14843,1484303,34819,SJU,"San Juan, PR",PR,72,Puerto Rico,3
2012,4,12,15,6,2012/12/15,FL,20437,FL,N608AT,305,11721,1172102,31721,FNT,"Flint, MI",MI,26,Michigan,43
2012,4,12,31,1,2012/12/31,DL,19790,DL,N770NC,307,10397,1039705,30397,ATL,"Atlanta, GA",GA,13,Georgia,34
2012,4,12,11,2,2012/12/11,WN,19393,WN,N288WN,308,14869,1486903,34614,SLC,"Salt Lake City, UT",UT,49,Utah,87
2012,4,12,2,7,2012/12/2,F9,20436,F9,N902FR,309,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82
2012,4,12,5,3,2012/12/5,FL,20437,FL,N974AT,310,11986,1198603,31986,GRR,"Grand Rapids, MI",MI,26,Michigan,43
2012,4,12,28,5,2012/12/28,HA,19690,HA,N484HA,311,12402,1240203,32402,ITO,"Hilo, HI",HI,15,Hawaii,2
2012,4,12,15,6,2012/12/15,HA,19690,HA,N475HA,312,12173,1217301,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2
2012,4,11,3,6,2012/11/3,AA,19805,AA,N4WRAA,313,12953,1295302,31703,LGA,"New York, NY",NY,36,New York,22
2012,4,12,21,5,2012/12/21,UA,19977,UA,N848UA,317,12892,1289203,32575,LAX,"Los Angeles, CA",CA,6,California,91
2012,4,12,26,3,2012/12/26,HA,19690,HA,N491HA,319,13830,1383002,33830,OGG,"Kahului, HI",HI,15,Hawaii,2
2012,4,12,15,6,2012/12/15,DL,19790,DL,N385DN,320,14893,1489302,33192,SMF,"Sacramento, CA",CA,6,California,91
2012,4,12,30,7,2012/12/30,VX,21171,VX,N853VA,321,11697,1169703,32467,FLL,"Fort Lauderdale, FL",FL,12,Florida,33
2012,4,12,12,3,2012/12/12,HA,19690,HA,N481HA,324,12982,1298202,32982,LIH,"Lihue, HI",HI,15,Hawaii,2
2012,4,12,12,3,2012/12/12,WN,19393,WN,N601WN,327,10821,1082103,30852,BWI,"Baltimore, MD",MD,24,Maryland,35
2012,4,12,25,2,2012/12/25,WN,19393,WN,N789SW,328,10821,1082103,30852,BWI,"Baltimore, MD",MD,24,Maryland,35
2012,4,12,27,4,2012/12/27,UA,19977,UA,N846UA,329,11618,1161802,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21
2012,4,12,21,5,2012/12/21,B6,20409,B6,N645JB,330,13204,1320402,31454,MCO,"Orlando, FL",FL,12,Florida,33
2012,4,12,12,3,2012/12/12,FL,20437,FL,N938AT,332,12339,1233904,32337,IND,"Indianapolis, IN",IN,18,Indiana,42
2012,4,12,16,7,2012/12/16,UA,19977,UA,N831UA,334,12278,1227802,30928,ICT,"Wichita, KS",KS,20,Kansas,62
2012,4,12,20,4,2012/12/20,HA,19690,HA,N485HA,335,13830,1383002,33830,OGG,"Kahului, HI",HI,15,Hawaii,2
2012,4,12,19,3,2012/12/19,HA,19690,HA,N486HA,336,12173,1217301,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2
