Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,UniqueCarrier,AirlineID,Carrier,TailNum,FlightNum,OriginAirportID
2012,4,12,14,5,2012/12/14,WN,19393,WN,N231WN,1092,13232
2012,4,12,24,1,2012/12/24,UA,19977,UA,N14107,1094,13930
2012,4,12,17,1,2012/12/17,WN,19393,WN,N361SW,1096,14679
2012,4,12,15,6,2012/12/15,AA,19805,AA,N474AA,1100,12889
2012,4,12,6,4,2012/12/6,US,20355,US,N195UW,1103,11057
2012,4,12,3,1,2012/12/3,DL,19790,DL,N137DL,1105,10397
2012,4,12,2,7,2012/12/2,UA,19977,UA,N14250,1106,11292
2012,4,12,11,2,2012/12/11,WN,19393,WN,N683SW,1108,13796
2012,4,12,30,7,2012/12/30,DL,19790,DL,N981DL,1112,10397
2012,4,12,1,6,2012/12/1,DL,19790,DL,N6713Y,1115,10397
2012,4,12,3,1,2012/12/3,UA,19977,UA,N77295,1116,11292
2012,4,12,24,1,2012/12/24,UA,19977,UA,N75410,1129,10299
2012,4,12,31,1,2012/12/31,B6,20409,B6,N190JB,1153,14524
2012,4,12,17,1,2012/12/17,WN,19393,WN,N709SW,1157,13198
2012,4,12,27,4,2012/12/27,DL,19790,DL,N782NC,1161,11267
2012,4,12,30,7,2012/12/30,DL,19790,DL,N722TW,1162,12892
2012,4,12,4,2,2012/12/4,US,20355,US,N409US,1164,11057
2012,4,12,20,4,2012/12/20,UA,19977,UA,N17244,1172,12266
2012,4,12,26,3,2012/12/26,AA,19805,AA,N570AA,1174,15304
2012,4,12,29,6,2012/12/29,US,20355,US,N449US,1175,11057
2012,4,12,4,2,2012/12/4,WN,19393,WN,N233LV,1176,14679
2012,4,12,8,6,2012/12/8,UA,19977,UA,N16234,1177,10821
2012,4,12,20,4,2012/12/20,UA,19977,UA,N17126,1178,11618
2012,4,12,19,3,2012/12/19,B6,20409,B6,N284JB,1179,10721
2012,4,12,19,3,2012/12/19,UA,19977,UA,N75854,1181,14771
2012,4,12,6,4,2012/12/6,DL,19790,DL,N353NB,1182,14869
2012,4,12,16,7,2012/12/16,WN,19393,WN,N233LV,1187,13232
2012,4,12,2,7,2012/12/2,AA,19805,AA,N3JRAA,1194,13303
2012,4,12,17,1,2012/12/17,AA,19805,AA,N3DDAA,1205,13930
2012,4,12,8,6,2012/12/8,B6,20409,B6,N206JB,1212,10792
2012,4,12,16,7,2012/12/16,B6,20409,B6,N298JB,1216,10792
2012,4,12,28,5,2012/12/28,B6,20409,B6,N258JB,1219,10721
2012,4,12,14,5,2012/12/14,DL,19790,DL,N920DN,1226,13487
2012,4,12,17,1,2012/12/17,AA,19805,AA,N4XTAA,1233,10693
2012,4,12,4,2,2012/12/4,B6,20409,B6,N284JB,1242,11057
2012,4,12,25,2,2012/12/25,US,20355,US,N715UW,1243,15096
2012,4,12,19,3,2012/12/19,WN,19393,WN,N687SW,1246,14107
2012,4,12,13,4,2012/12/13,UA,19977,UA,N16632,1247,13495
2012,4,12,4,2,2012/12/4,DL,19790,DL,N696DL,1251,10397
2012,4,12,24,1,2012/12/24,B6,20409,B6,N284JB,1254,12264
2012,4,12,24,1,2012/12/24,WN,19393,WN,N266WN,1258,11697
2012,4,12,13,4,2012/12/13,DL,19790,DL,N932DL,1267,12266
2012,4,12,14,5,2012/12/14,WN,19393,WN,N380SW,1268,14107
2012,4,12,21,5,2012/12/21,AA,19805,AA,N5DNAA,1270,13930
2012,4,12,7,5,2012/12/7,WN,19393,WN,N755SA,1272,14679
2012,4,12,25,2,2012/12/25,AA,19805,AA,N3JVAA,1283,13204
2012,4,12,20,4,2012/12/20,US,20355,US,N178US,1293,11057
2012,4,12,21,5,2012/12/21,AA,19805,AA,N4XUAA,1295,11042
2012,4,12,18,2,2012/12/18,DL,19790,DL,N962DL,1297,10397
2012,4,12,20,4,2012/12/20,DL,19790,DL,N390DA,1401,10721
2012,4,12,26,3,2012/12/26,DL,19790,DL,N3736C,1402,12889
2012,4,12,22,6,2012/12/22,DL,19790,DL,N338NW,1408,14869
2012,4,12,5,3,2012/12/5,UA,19977,UA,N15710,1411,13930
2012,4,12,14,5,2012/12/14,B6,20409,B6,N645JB,1416,10423
2012,4,12,10,1,2012/12/10,B6,20409,B6,N658JB,1417,10423
2012,4,12,1,6,2012/12/1,WN,19393,WN,N397SW,1425,11259
2012,4,12,11,2,2012/12/11,WN,19393,WN,N941WN,1430,13232
2012,4,12,6,4,2012/12/6,AA,19805,AA,N4XVAA,1433,11298
2012,4,12,13,4,2012/12/13,UA,19977,UA,N34460,1435,11292
2012,4,12,1,6,2012/12/1,AA,19805,AA,N478AA,1436,11298
2012,4,12,19,3,2012/12/19,US,20355,US,N538UW,1445,11057
2012,4,12,1,6,2012/12/1,WN,19393,WN,N656SW,1472,15016
2012,4,12,6,4,2012/12/6,UA,19977,UA,N26208,1480,14771
2012,4,12,26,3,2012/12/26,AA,19805,AA,N468AA,1482,12889
2012,4,12,3,1,2012/12/3,AA,19805,AA,N573AA,1488,11540
2012,4,12,28,5,2012/12/28,UA,19977,UA,N39463,1492,13930
2012,4,12,30,7,2012/12/30,DL,19790,DL,N382DA,1507,10397
2012,4,12,30,7,2012/12/30,DL,19790,DL,N770NC,1521,11267
2012,4,12,5,3,2012/12/5,DL,19790,DL,N6704Z,1546,10397
2012,4,12,17,1,2012/12/17,WN,19393,WN,N923WN,1578,14771
2012,4,12,19,3,2012/12/19,B6,20409,B6,N648JB,1602,14635
2012,4,12,30,7,2012/12/30,DL,19790,DL,N503US,1626,11697
2012,4,12,3,1,2012/12/3,US,20355,US,N430US,1628,13204
2012,4,12,10,1,2012/12/10,AA,19805,AA,N3FFAA,1630,11298
2012,4,12,30,7,2012/12/30,UA,19977,UA,N27724,1634,12266
2012,4,12,11,2,2012/12/11,DL,19790,DL,N6716C,1661,14100
2012,4,12,11,2,2012/12/11,UA,19977,UA,N73251,1665,14771
2012,4,12,28,5,2012/12/28,WN,19393,WN,N732SW,1667,14683
2012,4,12,31,1,2012/12/31,DL,19790,DL,N337NB,1675,12266
2012,4,12,7,5,2012/12/7,US,20355,US,N455UW,1690,11057
2012,4,12,29,6,2012/12/29,B6,20409,B6,N521JB,1695,10721
2012,4,12,5,3,2012/12/5,WN,19393,WN,N225WN,1696,12264
2012,4,12,28,5,2012/12/28,AA,19805,AA,N514AA,1704,11298
2012,4,12,23,7,2012/12/23,WN,19393,WN,N258WN,1729,11292
2012,4,12,7,5,2012/12/7,AA,19805,AA,N3AFAA,1741,13930
2012,4,12,8,6,2012/12/8,DL,19790,DL,N371DA,1790,14683
2012,4,12,3,1,2012/12/3,WN,19393,WN,N770SA,1983,12191
2012,4,12,4,2,2012/12/4,WN,19393,WN,N793SA,2703,10423
