Fulfilment,Sales Channel ,ship-service-level,SKU,currency,ship-country,fulfilled-by,Unnamed: 22
Merchant,Amazon.in,Standard,SET236-KR-PP-M,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0126-SKD-M,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3567-KR-XXXL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3800-KR-XXL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0348-SET-XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3577-KR-M,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3797-KR-XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,MEN5032-KR-XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0308-DR-XXXL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3471-KR-L,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3265-KR-L,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3862-TU-L,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3797-KR-XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET187-KR-DH-XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3905-DR-S,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3836-KR-XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0003-SET-XXL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3904-DR-L,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0164-DR-M,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3818-KR-L,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3869-DR-L,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET397-KR-NP  -M,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3798-KR-XS,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3671-TU-XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3601-KR-L,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,MEN5011-KR-XXL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0341-DR-L,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3861-DR-XXL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0150-KR-S,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0301-TP-M,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET281-KR-PP-L,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3735-KR-XXXL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3449-KR-XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,NW012-TP-PJ-XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0341-DR-L,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,MEN5019-KR-XXXL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0117-TP-XXXL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET291-KR-PP-M,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET310-KR-NP-XXL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET401-KR-NP-XXXL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3800-KR-XXL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3627-KR-XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0341-DR-L,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0341-DR-L,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET327-KR-DPT-L,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0157-DR-XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3568-KR-M,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0396-DR-XXXL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3399-KR-XXXL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET187-KR-DH-XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3606-KR-L,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0280-SKD-XXL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET363-KR-NP-XS,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0189-TP-XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3869-DR-M,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3436-KR-XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0113-TP-XXL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3606-KR-S,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3709-DR-XXL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0346-SET-XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3434-KR-M,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3710-DR-M,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3800-KR-S,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3431-KR-XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0231-SKD-M,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3366-KR-1053-S,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET369-KR-NP-XXL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0280-SKD-XXL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0339-DR-M,INR,IN,Easy Ship,False
