index,Fulfilment,Sales Channel ,ship-service-level,currency,ship-country,fulfilled-by,Unnamed: 22
49438,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49443,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49445,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49450,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49452,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49456,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49461,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49462,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49463,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49465,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49468,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49478,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49495,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49496,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49511,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49512,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49513,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49527,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49530,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49532,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49539,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49542,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49543,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49544,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49545,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49553,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49555,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49556,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49558,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49561,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49564,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49573,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49575,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49579,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49589,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49591,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49594,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49598,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49600,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49601,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49602,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49603,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49604,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49605,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49609,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49610,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49617,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49618,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49626,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49627,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49632,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49634,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49636,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49640,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49644,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49649,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49664,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49668,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49675,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49679,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49689,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49696,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49703,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49735,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49739,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49743,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49745,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49746,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49747,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49751,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49752,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49758,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49759,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49766,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49777,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49780,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49782,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49791,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49795,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49801,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49802,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49803,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49809,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49811,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49814,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49815,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49816,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49819,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49833,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49834,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49840,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49844,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49845,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49847,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49853,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49854,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49855,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49856,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49861,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49862,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49864,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49870,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49880,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49883,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49884,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49893,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49909,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49911,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49918,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49920,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49925,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49928,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49934,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49940,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49945,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49955,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49956,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49963,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49970,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49974,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49975,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49981,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49987,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49992,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
49993,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50005,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50015,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50021,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50024,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
